country,x,y
Russia, 215.0, 157.0
Turkey, 214.0, -240.0 
Cyprus, 215.0, -334.0
Greece, 105.0, -320.0
Malta, -11.0, -343.0
Spain, -275.0, -266.0
Portugal, -360.0, -236.0
Andorra, -231.0, -222.0
Monaco, -147.0, -228.0
Vatican City, -147.0, -228.0
Albania, 3.0, -264.0
North Macedonia, 81.0, -248.0
Kosovo, 50.0, -227.0
Montenegro, -22.0, -238.0
Italy, -82.0, -232.0
Bulgaria, 91.0, -210.0
Bosnia and Herzegovina, -14.0, -209.0
San Marino, -91.0, -208.0
France, -190.0, -191.0
Serbia, 38.0, -189.0
Croatia, -20.0, -182.0
Slovenia, -75.0, -175.0
Switzerland, -161.0, -167.0
Liechtenstein, -161.0, -167.0
Austria, -63.0, -149.0
Hungary, 12.0, -152.0
Romania, 84.0, -168.0
Moldova, 106.0, -134.0
Slovakia, 3.0, -123.0
Czechia, -49.0, -113.0
Luxembourg, -197.0, -123.0
Belgium, -168.0, -98.0
Germany, -102.0, -84.0
Poland, -8.0, -66.0
Ukraine, 133.0, -87.0
Belarus, 76.0, -39.0
Netherlands, -177.0, -50.0
Ireland, -332.0, -30.0
United Kingdom, -215.0, 14.0
Lithuania, 18.0, -7.0
Latvia, 34.0, 19.0
Estonia, 27.0, 51.0
Sweden, -63.0, 51.0
Finland, 24.0, 124.0
Norway, -107.0, 81.0
Iceland, -299.0, 177.0
